dist_along,Y,RefDir_dx,RefDir_dy
0.000000,32.808399,0.999988,-0.005000
3.280840,32.792077,0.999988,-0.004950
6.561680,32.775919,0.999988,-0.004900
9.842520,32.759925,0.999988,-0.004850
13.123360,32.744095,0.999988,-0.004800
16.404199,32.728429,0.999989,-0.004750
19.685039,32.712927,0.999989,-0.004700
22.965879,32.697589,0.999989,-0.004650
26.246719,32.682415,0.999989,-0.004600
29.527559,32.667405,0.999990,-0.004550
32.808399,32.652559,0.999990,-0.004500
36.089239,32.637878,0.999990,-0.004450
39.370079,32.623360,0.999990,-0.004400
42.650919,32.609006,0.999991,-0.004350
45.931759,32.594817,0.999991,-0.004300
49.212598,32.580791,0.999991,-0.004250
52.493438,32.566930,0.999991,-0.004200
55.774278,32.553232,0.999991,-0.004150
59.055118,32.539699,0.999992,-0.004100
62.335958,32.526329,0.999992,-0.004050
65.616798,32.513124,0.999992,-0.004000
68.897638,32.500083,0.999992,-0.003950
72.178478,32.487206,0.999992,-0.003900
75.459318,32.474492,0.999993,-0.003850
78.740157,32.461943,0.999993,-0.003800
82.020997,32.449558,0.999993,-0.003750
85.301837,32.437337,0.999993,-0.003700
88.582677,32.425280,0.999993,-0.003650
91.863517,32.413387,0.999994,-0.003600
95.144357,32.401658,0.999994,-0.003550
98.425197,32.390093,0.999994,-0.003500
101.706037,32.378692,0.999994,-0.003450
104.986877,32.367456,0.999994,-0.003400
108.267717,32.356383,0.999994,-0.003350
111.548556,32.345474,0.999995,-0.003300
114.829396,32.334729,0.999995,-0.003250
118.110236,32.324149,0.999995,-0.003200
121.391076,32.313732,0.999995,-0.003150
124.671916,32.303480,0.999995,-0.003100
127.952756,32.293391,0.999995,-0.003050
131.233596,32.283467,0.999996,-0.003000
134.514436,32.273706,0.999996,-0.002950
137.795276,32.264110,0.999996,-0.002900
141.076115,32.254678,0.999996,-0.002850
144.356955,32.245409,0.999996,-0.002800
147.637795,32.236305,0.999996,-0.002750
150.918635,32.227365,0.999996,-0.002700
154.199475,32.218589,0.999996,-0.002650
157.480315,32.209976,0.999997,-0.002600
160.761155,32.201528,0.999997,-0.002550
164.041995,32.193244,0.999997,-0.002500
167.322835,32.185124,0.999997,-0.002450
170.603675,32.177168,0.999997,-0.002400
173.884514,32.169376,0.999997,-0.002350
177.165354,32.161749,0.999997,-0.002300
180.446194,32.154285,0.999997,-0.002250
183.727034,32.146985,0.999998,-0.002200
187.007874,32.139849,0.999998,-0.002150
190.288714,32.132877,0.999998,-0.002100
193.569554,32.126070,0.999998,-0.002050
196.850394,32.119426,0.999998,-0.002000
200.131234,32.112947,0.999998,-0.001950
203.412073,32.106631,0.999998,-0.001900
206.692913,32.100480,0.999998,-0.001850
209.973753,32.094492,0.999998,-0.001800
213.254593,32.088669,0.999998,-0.001750
216.535433,32.083009,0.999999,-0.001700
219.816273,32.077514,0.999999,-0.001650
223.097113,32.072183,0.999999,-0.001600
226.377953,32.067015,0.999999,-0.001550
229.658793,32.062012,0.999999,-0.001500
232.939633,32.057173,0.999999,-0.001450
236.220472,32.052498,0.999999,-0.001400
239.501312,32.047987,0.999999,-0.001350
242.782152,32.043640,0.999999,-0.001300
246.062992,32.039457,0.999999,-0.001250
249.343832,32.035438,0.999999,-0.001200
252.624672,32.031583,0.999999,-0.001150
255.905512,32.027892,0.999999,-0.001100
259.186352,32.024365,0.999999,-0.001050
262.467192,32.021002,1.000000,-0.001000
265.748031,32.017803,1.000000,-0.000950
269.028871,32.014769,1.000000,-0.000900
272.309711,32.011898,1.000000,-0.000850
275.590551,32.009191,1.000000,-0.000800
278.871391,32.006649,1.000000,-0.000750
282.152231,32.004270,1.000000,-0.000700
285.433071,32.002055,1.000000,-0.000650
288.713911,32.000005,1.000000,-0.000600
291.994751,31.998119,1.000000,-0.000550
295.275591,31.996396,1.000000,-0.000500
298.556430,31.994838,1.000000,-0.000450
301.837270,31.993443,1.000000,-0.000400
305.118110,31.992213,1.000000,-0.000350
308.398950,31.991147,1.000000,-0.000300
311.679790,31.990245,1.000000,-0.000250
314.960630,31.989506,1.000000,-0.000200
318.241470,31.988932,1.000000,-0.000150
321.522310,31.988522,1.000000,-0.000100
324.803150,31.988276,1.000000,-0.000050
328.083990,31.988194,1.000000,0.000000
