DistAlong,X,Y,Z,RefDir_dx,RefDir_dy,RefDir_dz,Y_dx,Y_dy,Y_dz,Axis_dx,Axis_dy,Axis_dz
0.000000,0.000000,0.000000,32.808333,0.999988,0.000000,-0.005000,0.000000,1.000000,0.000000,0.005000,0.000000,0.999988
3.280833,3.280833,0.000000,32.792175,0.999988,0.000000,-0.004850,0.000000,1.000000,0.000000,0.004850,0.000000,0.999988
6.561667,6.561667,0.000000,32.776509,0.999989,0.000000,-0.004700,0.000000,1.000000,0.000000,0.004700,0.000000,0.999989
9.842500,9.842500,0.000000,32.761335,0.999990,0.000000,-0.004550,0.000000,1.000000,0.000000,0.004550,0.000000,0.999990
13.123333,13.123333,0.000000,32.746654,0.999990,0.000000,-0.004400,0.000000,1.000000,0.000000,0.004400,0.000000,0.999990
16.404167,16.404167,0.000000,32.732464,0.999991,0.000000,-0.004250,0.000000,1.000000,0.000000,0.004250,0.000000,0.999991
19.685000,19.685000,0.000000,32.718767,0.999992,0.000000,-0.004100,0.000000,1.000000,0.000000,0.004100,0.000000,0.999992
22.965833,22.965833,0.000000,32.705561,0.999992,0.000000,-0.003950,0.000000,1.000000,0.000000,0.003950,0.000000,0.999992
26.246667,26.246667,0.000000,32.692848,0.999993,0.000000,-0.003800,0.000000,1.000000,0.000000,0.003800,0.000000,0.999993
29.527500,29.527500,0.000000,32.680627,0.999993,0.000000,-0.003650,0.000000,1.000000,0.000000,0.003650,0.000000,0.999993
32.808333,32.808333,0.000000,32.668898,0.999994,0.000000,-0.003500,0.000000,1.000000,0.000000,0.003500,0.000000,0.999994
36.089167,36.089167,0.000000,32.657661,0.999994,0.000000,-0.003350,0.000000,1.000000,0.000000,0.003350,0.000000,0.999994
39.370000,39.370000,0.000000,32.646916,0.999995,0.000000,-0.003200,0.000000,1.000000,0.000000,0.003200,0.000000,0.999995
42.650833,42.650833,0.000000,32.636664,0.999995,0.000000,-0.003050,0.000000,1.000000,0.000000,0.003050,0.000000,0.999995
45.931667,45.931667,0.000000,32.626903,0.999996,0.000000,-0.002900,0.000000,1.000000,0.000000,0.002900,0.000000,0.999996
49.212500,49.212500,0.000000,32.617635,0.999996,0.000000,-0.002750,0.000000,1.000000,0.000000,0.002750,0.000000,0.999996
52.493333,52.493333,0.000000,32.608859,0.999997,0.000000,-0.002600,0.000000,1.000000,0.000000,0.002600,0.000000,0.999997
55.774167,55.774167,0.000000,32.600575,0.999997,0.000000,-0.002450,0.000000,1.000000,0.000000,0.002450,0.000000,0.999997
59.055000,59.055000,0.000000,32.592783,0.999997,0.000000,-0.002300,0.000000,1.000000,0.000000,0.002300,0.000000,0.999997
62.335833,62.335833,0.000000,32.585483,0.999998,0.000000,-0.002150,0.000000,1.000000,0.000000,0.002150,0.000000,0.999998
65.616667,65.616667,0.000000,32.578675,0.999998,0.000000,-0.002000,0.000000,1.000000,0.000000,0.002000,0.000000,0.999998
68.897500,68.897500,0.000000,32.572359,0.999998,0.000000,-0.001850,0.000000,1.000000,0.000000,0.001850,0.000000,0.999998
72.178333,72.178333,0.000000,32.566536,0.999999,0.000000,-0.001700,0.000000,1.000000,0.000000,0.001700,0.000000,0.999999
75.459167,75.459167,0.000000,32.561205,0.999999,0.000000,-0.001550,0.000000,1.000000,0.000000,0.001550,0.000000,0.999999
78.740000,78.740000,0.000000,32.556365,0.999999,0.000000,-0.001400,0.000000,1.000000,0.000000,0.001400,0.000000,0.999999
82.020833,82.020833,0.000000,32.552018,0.999999,0.000000,-0.001250,0.000000,1.000000,0.000000,0.001250,0.000000,0.999999
85.301667,85.301667,0.000000,32.548163,0.999999,0.000000,-0.001100,0.000000,1.000000,0.000000,0.001100,0.000000,0.999999
88.582500,88.582500,0.000000,32.544800,1.000000,0.000000,-0.000950,0.000000,1.000000,0.000000,0.000950,0.000000,1.000000
91.863333,91.863333,0.000000,32.541930,1.000000,0.000000,-0.000800,0.000000,1.000000,0.000000,0.000800,0.000000,1.000000
95.144167,95.144167,0.000000,32.539551,1.000000,0.000000,-0.000650,0.000000,1.000000,0.000000,0.000650,0.000000,1.000000
98.425000,98.425000,0.000000,32.537665,1.000000,0.000000,-0.000500,0.000000,1.000000,0.000000,0.000500,0.000000,1.000000
101.705833,101.705833,0.000000,32.536270,1.000000,0.000000,-0.000350,0.000000,1.000000,0.000000,0.000350,0.000000,1.000000
104.986667,104.986667,0.000000,32.535368,1.000000,0.000000,-0.000200,0.000000,1.000000,0.000000,0.000200,0.000000,1.000000
108.267500,108.267500,0.000000,32.534958,1.000000,0.000000,-0.000050,0.000000,1.000000,0.000000,0.000050,0.000000,1.000000
111.548333,111.548333,0.000000,32.535040,1.000000,0.000000,0.000100,0.000000,1.000000,0.000000,-0.000100,0.000000,1.000000
114.829167,114.829167,0.000000,32.535614,1.000000,0.000000,0.000250,0.000000,1.000000,0.000000,-0.000250,0.000000,1.000000
118.110000,118.110000,0.000000,32.536680,1.000000,0.000000,0.000400,0.000000,1.000000,0.000000,-0.000400,0.000000,1.000000
121.390833,121.390833,0.000000,32.538239,1.000000,0.000000,0.000550,0.000000,1.000000,0.000000,-0.000550,0.000000,1.000000
124.671667,124.671667,0.000000,32.540289,1.000000,0.000000,0.000700,0.000000,1.000000,0.000000,-0.000700,0.000000,1.000000
127.952500,127.952500,0.000000,32.542832,1.000000,0.000000,0.000850,0.000000,1.000000,0.000000,-0.000850,0.000000,1.000000
131.233333,131.233333,0.000000,32.545867,1.000000,0.000000,0.001000,0.000000,1.000000,0.000000,-0.001000,0.000000,1.000000
134.514167,134.514167,0.000000,32.549394,0.999999,0.000000,0.001150,0.000000,1.000000,0.000000,-0.001150,0.000000,0.999999
137.795000,137.795000,0.000000,32.553413,0.999999,0.000000,0.001300,0.000000,1.000000,0.000000,-0.001300,0.000000,0.999999
141.075833,141.075833,0.000000,32.557924,0.999999,0.000000,0.001450,0.000000,1.000000,0.000000,-0.001450,0.000000,0.999999
144.356667,144.356667,0.000000,32.562927,0.999999,0.000000,0.001600,0.000000,1.000000,0.000000,-0.001600,0.000000,0.999999
