dist_along,Y,RefDir_dx,RefDir_dy
0.000000,10.000000,1.000000,0.000000
1.000000,9.999975,1.000000,-0.000050
2.000000,9.999900,1.000000,-0.000100
3.000000,9.999775,1.000000,-0.000150
4.000000,9.999600,1.000000,-0.000200
5.000000,9.999375,1.000000,-0.000250
6.000000,9.999100,1.000000,-0.000300
7.000000,9.998775,1.000000,-0.000350
8.000000,9.998400,1.000000,-0.000400
9.000000,9.997975,1.000000,-0.000450
10.000000,9.997500,1.000000,-0.000500
11.000000,9.996975,1.000000,-0.000550
12.000000,9.996400,1.000000,-0.000600
13.000000,9.995775,1.000000,-0.000650
14.000000,9.995100,1.000000,-0.000700
15.000000,9.994375,1.000000,-0.000750
16.000000,9.993600,1.000000,-0.000800
17.000000,9.992775,1.000000,-0.000850
18.000000,9.991900,1.000000,-0.000900
19.000000,9.990975,1.000000,-0.000950
20.000000,9.990000,1.000000,-0.001000
21.000000,9.988975,0.999999,-0.001050
22.000000,9.987900,0.999999,-0.001100
23.000000,9.986775,0.999999,-0.001150
24.000000,9.985600,0.999999,-0.001200
25.000000,9.984375,0.999999,-0.001250
26.000000,9.983100,0.999999,-0.001300
27.000000,9.981775,0.999999,-0.001350
28.000000,9.980400,0.999999,-0.001400
29.000000,9.978975,0.999999,-0.001450
30.000000,9.977500,0.999999,-0.001500
31.000000,9.975975,0.999999,-0.001550
32.000000,9.974400,0.999999,-0.001600
33.000000,9.972775,0.999999,-0.001650
34.000000,9.971100,0.999999,-0.001700
35.000000,9.969375,0.999998,-0.001750
36.000000,9.967600,0.999998,-0.001800
37.000000,9.965775,0.999998,-0.001850
38.000000,9.963900,0.999998,-0.001900
39.000000,9.961975,0.999998,-0.001950
40.000000,9.960000,0.999998,-0.002000
41.000000,9.957975,0.999998,-0.002050
42.000000,9.955900,0.999998,-0.002100
43.000000,9.953775,0.999998,-0.002150
44.000000,9.951600,0.999998,-0.002200
45.000000,9.949375,0.999997,-0.002250
46.000000,9.947100,0.999997,-0.002300
47.000000,9.944775,0.999997,-0.002350
48.000000,9.942400,0.999997,-0.002400
49.000000,9.939975,0.999997,-0.002450
50.000000,9.937500,0.999997,-0.002500
51.000000,9.934975,0.999997,-0.002550
52.000000,9.932400,0.999997,-0.002600
53.000000,9.929775,0.999996,-0.002650
54.000000,9.927100,0.999996,-0.002700
55.000000,9.924375,0.999996,-0.002750
56.000000,9.921600,0.999996,-0.002800
57.000000,9.918775,0.999996,-0.002850
58.000000,9.915900,0.999996,-0.002900
59.000000,9.912975,0.999996,-0.002950
60.000000,9.910000,0.999996,-0.003000
61.000000,9.906975,0.999995,-0.003050
62.000000,9.903900,0.999995,-0.003100
63.000000,9.900775,0.999995,-0.003150
64.000000,9.897600,0.999995,-0.003200
65.000000,9.894375,0.999995,-0.003250
66.000000,9.891100,0.999995,-0.003300
67.000000,9.887775,0.999994,-0.003350
68.000000,9.884400,0.999994,-0.003400
69.000000,9.880975,0.999994,-0.003450
70.000000,9.877500,0.999994,-0.003500
71.000000,9.873975,0.999994,-0.003550
72.000000,9.870400,0.999994,-0.003600
73.000000,9.866775,0.999993,-0.003650
74.000000,9.863100,0.999993,-0.003700
75.000000,9.859375,0.999993,-0.003750
76.000000,9.855600,0.999993,-0.003800
77.000000,9.851775,0.999993,-0.003850
78.000000,9.847900,0.999992,-0.003900
79.000000,9.843975,0.999992,-0.003950
80.000000,9.840000,0.999992,-0.004000
81.000000,9.835975,0.999992,-0.004050
82.000000,9.831900,0.999992,-0.004100
83.000000,9.827775,0.999991,-0.004150
84.000000,9.823600,0.999991,-0.004200
85.000000,9.819375,0.999991,-0.004250
86.000000,9.815100,0.999991,-0.004300
87.000000,9.810775,0.999991,-0.004350
88.000000,9.806400,0.999990,-0.004400
89.000000,9.801975,0.999990,-0.004450
90.000000,9.797500,0.999990,-0.004500
91.000000,9.792975,0.999990,-0.004550
92.000000,9.788400,0.999989,-0.004600
93.000000,9.783775,0.999989,-0.004650
94.000000,9.779100,0.999989,-0.004700
95.000000,9.774375,0.999989,-0.004750
96.000000,9.769600,0.999988,-0.004800
97.000000,9.764775,0.999988,-0.004850
98.000000,9.759900,0.999988,-0.004900
99.000000,9.754975,0.999988,-0.004950
100.000000,9.750000,0.999988,-0.005000
