dist_along,Y,RefDir_dx,RefDir_dy
0.000000,32.808333,0.999988,0.005000
3.280833,32.824655,0.999988,0.004950
6.561667,32.840814,0.999988,0.004900
9.842500,32.856808,0.999988,0.004850
13.123333,32.872638,0.999988,0.004800
16.404167,32.888304,0.999989,0.004750
19.685000,32.903806,0.999989,0.004700
22.965833,32.919143,0.999989,0.004650
26.246667,32.934317,0.999989,0.004600
29.527500,32.949327,0.999990,0.004550
32.808333,32.964173,0.999990,0.004500
36.089167,32.978855,0.999990,0.004450
39.370000,32.993372,0.999990,0.004400
42.650833,33.007726,0.999991,0.004350
45.931667,33.021916,0.999991,0.004300
49.212500,33.035941,0.999991,0.004250
52.493333,33.049803,0.999991,0.004200
55.774167,33.063500,0.999991,0.004150
59.055000,33.077034,0.999992,0.004100
62.335833,33.090403,0.999992,0.004050
65.616667,33.103608,0.999992,0.004000
68.897500,33.116650,0.999992,0.003950
72.178333,33.129527,0.999992,0.003900
75.459167,33.142240,0.999993,0.003850
78.740000,33.154789,0.999993,0.003800
82.020833,33.167174,0.999993,0.003750
85.301667,33.179396,0.999993,0.003700
88.582500,33.191453,0.999993,0.003650
91.863333,33.203346,0.999994,0.003600
95.144167,33.215075,0.999994,0.003550
98.425000,33.226640,0.999994,0.003500
101.705833,33.238040,0.999994,0.003450
104.986667,33.249277,0.999994,0.003400
108.267500,33.260350,0.999994,0.003350
111.548333,33.271259,0.999995,0.003300
114.829167,33.282004,0.999995,0.003250
118.110000,33.292584,0.999995,0.003200
121.390833,33.303001,0.999995,0.003150
124.671667,33.313254,0.999995,0.003100
127.952500,33.323342,0.999995,0.003050
131.233333,33.333267,0.999996,0.003000
134.514167,33.343027,0.999996,0.002950
137.795000,33.352624,0.999996,0.002900
141.075833,33.362056,0.999996,0.002850
144.356667,33.371324,0.999996,0.002800
147.637500,33.380429,0.999996,0.002750
150.918333,33.389369,0.999996,0.002700
154.199167,33.398145,0.999996,0.002650
157.480000,33.406757,0.999997,0.002600
160.760833,33.415205,0.999997,0.002550
164.041667,33.423490,0.999997,0.002500
167.322500,33.431610,0.999997,0.002450
170.603333,33.439566,0.999997,0.002400
173.884167,33.447358,0.999997,0.002350
177.165000,33.454986,0.999997,0.002300
180.445833,33.462449,0.999997,0.002250
183.726667,33.469749,0.999998,0.002200
187.007500,33.476885,0.999998,0.002150
190.288333,33.483857,0.999998,0.002100
193.569167,33.490665,0.999998,0.002050
196.850000,33.497308,0.999998,0.002000
200.130833,33.503788,0.999998,0.001950
203.411667,33.510104,0.999998,0.001900
206.692500,33.516255,0.999998,0.001850
209.973333,33.522243,0.999998,0.001800
213.254167,33.528066,0.999998,0.001750
216.535000,33.533726,0.999999,0.001700
219.815833,33.539221,0.999999,0.001650
223.096667,33.544552,0.999999,0.001600
226.377500,33.549720,0.999999,0.001550
229.658333,33.554723,0.999999,0.001500
232.939167,33.559562,0.999999,0.001450
236.220000,33.564237,0.999999,0.001400
239.500833,33.568748,0.999999,0.001350
242.781667,33.573096,0.999999,0.001300
246.062500,33.577279,0.999999,0.001250
249.343333,33.581298,0.999999,0.001200
252.624167,33.585153,0.999999,0.001150
255.905000,33.588844,0.999999,0.001100
259.185833,33.592370,0.999999,0.001050
262.466667,33.595733,1.000000,0.001000
265.747500,33.598932,1.000000,0.000950
269.028333,33.601967,1.000000,0.000900
272.309167,33.604838,1.000000,0.000850
275.590000,33.607544,1.000000,0.000800
278.870833,33.610087,1.000000,0.000750
282.151667,33.612466,1.000000,0.000700
285.432500,33.614680,1.000000,0.000650
288.713333,33.616731,1.000000,0.000600
291.994167,33.618617,1.000000,0.000550
295.275000,33.620340,1.000000,0.000500
298.555833,33.621898,1.000000,0.000450
301.836667,33.623292,1.000000,0.000400
305.117500,33.624523,1.000000,0.000350
308.398333,33.625589,1.000000,0.000300
311.679167,33.626491,1.000000,0.000250
314.960000,33.627229,1.000000,0.000200
318.240833,33.627803,1.000000,0.000150
321.521667,33.628214,1.000000,0.000100
324.802500,33.628460,1.000000,0.000050
328.083333,33.628542,1.000000,-0.000000
